"idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","cityTeam","isStarter","minExact","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus"
21900092,"NOP","Lonzo Ball","G",1610612740,1628366,6,10,0.6,3,7,0.428571428571429,0,3,3,1,"New Orleans",TRUE,20.8666666666667,0,0,1,1,2,3,0,0,2,1,15,-16
21900092,"NOP","JJ Redick",NA,1610612740,200755,4,9,0.444,3,4,0.75,0.5,1,5,0.2,"New Orleans",TRUE,21.0666666666667,1,2,0,1,1,0,1,1,0,1,12,-1
21900092,"NOP","Derrick Favors",NA,1610612740,202324,0,1,0,0,0,0,0,0,1,0,"New Orleans",TRUE,8.23333333333333,0,2,1,3,4,1,0,0,2,0,0,-5
21900092,"NOP","Frank Jackson",NA,1610612740,1628402,4,9,0.444,1,2,0.5,1,3,7,0.428571428571429,"New Orleans",TRUE,24.65,3,3,0,0,0,2,2,0,5,2,12,4
21900092,"NOP","Kenrich Williams",NA,1610612740,1629026,1,2,0.5,1,1,1,0,0,1,0,"New Orleans",TRUE,6.28333333333333,0,0,1,2,3,0,1,1,0,0,3,-7
21900092,"NOP","Nickeil Alexander-Walker",NA,1610612740,1629638,0,2,0,0,1,0,0,0,1,0,"New Orleans",TRUE,4.28333333333333,0,0,0,0,0,0,0,0,0,0,0,-1
21900092,"NOP","E'Twaun Moore",NA,1610612740,202734,2,4,0.5,1,2,0.5,0.667,1,2,0.5,"New Orleans",TRUE,14.8833333333333,2,3,0,1,1,1,0,0,0,1,7,8
21900092,"NOP","Jaxson Hayes",NA,1610612740,1629637,0,3,0,0,1,0,1,0,2,0,"New Orleans",TRUE,16.4333333333333,3,3,3,2,5,1,2,0,2,6,3,12
21900092,"BKN","Joe Harris","F",1610612751,203925,7,14,0.5,4,9,0.444444444444444,0.5,3,5,0.6,"Brooklyn",TRUE,32.7833333333333,1,2,2,1,3,4,1,0,2,3,19,-4
21900092,"BKN","Taurean Prince","F",1610612751,1627752,4,12,0.333,2,9,0.222222222222222,1,2,3,0.666666666666667,"Brooklyn",TRUE,37.8,2,2,2,9,11,4,4,0,3,4,12,11
21900092,"BKN","Jarrett Allen","C",1610612751,1628386,7,8,0.875,0,0,0,0.571,7,8,0.875,"Brooklyn",TRUE,30.05,4,7,4,6,10,1,1,0,3,3,18,12
21900092,"BKN","Caris LeVert","G",1610612751,1627747,9,19,0.474,4,8,0.5,0.333,5,11,0.454545454545455,"Brooklyn",TRUE,35.1333333333333,1,3,2,5,7,5,0,0,3,2,23,14
21900092,"BKN","Kyrie Irving","G",1610612751,202681,13,21,0.619,2,6,0.333333333333333,1,11,15,0.733333333333333,"Brooklyn",TRUE,34.55,11,11,1,3,4,9,3,0,5,2,39,11
21900092,"BKN","Garrett Temple",NA,1610612751,202066,4,6,0.667,3,5,0.6,0.667,1,1,1,"Brooklyn",TRUE,25.8,2,3,1,1,2,4,1,1,0,0,13,6
21900092,"BKN","Spencer Dinwiddie",NA,1610612751,203915,3,8,0.375,1,4,0.25,0,2,4,0.5,"Brooklyn",TRUE,20.7333333333333,0,0,0,1,1,3,1,0,3,2,7,3
21900092,"BKN","DeAndre Jordan",NA,1610612751,201599,2,3,0.667,0,0,0,0,2,3,0.666666666666667,"Brooklyn",TRUE,16.0666666666667,0,0,0,5,5,2,1,2,2,1,4,-5
21900092,"BKN","Rodions Kurucs",NA,1610612751,1629066,0,1,0,0,0,0,0,0,1,0,"Brooklyn",TRUE,7.08333333333333,0,0,0,2,2,0,1,0,2,1,0,2
21900093,"HOU","Danuel House Jr.","F",1610612745,1627863,6,15,0.4,2,9,0.222222222222222,1,4,6,0.666666666666667,"Houston",TRUE,36.4666666666667,1,1,1,8,9,1,1,3,2,2,15,5
21900093,"HOU","P.J. Tucker","F",1610612745,200782,0,1,0,0,1,0,0,0,0,0,"Houston",TRUE,34.0666666666667,0,0,1,5,6,3,0,0,3,4,0,-12
21900093,"HOU","Clint Capela","C",1610612745,203991,5,10,0.5,0,0,0,0,5,10,0.5,"Houston",TRUE,28.9,0,1,6,7,13,2,1,0,2,1,10,4
