Round Number,Date,Location,Home Team,Away Team,Result
16,9/2/20 15:30,Chesapeake Energy Arena,Oklahoma City Thunder,Boston Celtics,
16,9/2/20 18:00,State Farm Arena,Atlanta Hawks,New York Knicks,
16,9/2/20 18:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
16,9/2/20 18:00,Capital One Arena,Washington Wizards,Memphis Grizzlies,
16,9/2/20 19:00,Toyota Center,Houston Rockets,Utah Jazz,
16,9/2/20 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,LA Clippers,
16,9/2/20 21:00,Moda Center,Portland Trail Blazers,Miami Heat,
16,10/2/20 19:00,Little Caesars Arena,Detroit Pistons,Charlotte Hornets,
16,10/2/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,
16,10/2/20 19:00,Amway Center,Orlando Magic,Atlanta Hawks,
16,10/2/20 19:30,Scotiabank Arena,Toronto Raptors,Minnesota Timberwolves,
16,10/2/20 20:00,Fiserv Forum,Milwaukee Bucks,Sacramento Kings,
16,10/2/20 20:30,American Airlines Center,Dallas Mavericks,Utah Jazz,
16,10/2/20 21:00,Pepsi Center,Denver Nuggets,San Antonio Spurs,
16,10/2/20 22:30,Chase Center,Golden State Warriors,Miami Heat,
16,10/2/20 22:30,Staples Center,Los Angeles Lakers,Phoenix Suns,
16,11/2/20 19:00,Wells Fargo Center,Philadelphia 76ers,LA Clippers,
16,11/2/20 19:00,Capital One Arena,Washington Wizards,Chicago Bulls,
16,11/2/20 20:00,Smoothie King Center,New Orleans Pelicans,Portland Trail Blazers,
16,11/2/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,San Antonio Spurs,
16,11/2/20 21:30,Toyota Center,Houston Rockets,Boston Celtics,
16,12/2/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Atlanta Hawks,
16,12/2/20 19:00,Amway Center,Orlando Magic,Detroit Pistons,
16,12/2/20 19:30,Barclays Center,Brooklyn Nets,Toronto Raptors,
16,12/2/20 19:30,Bankers Life Fieldhouse,Indiana Pacers,Milwaukee Bucks,
16,12/2/20 19:30,Madison Square Garden,New York Knicks,Washington Wizards,
16,12/2/20 20:00,FedExForum,Memphis Grizzlies,Portland Trail Blazers,
16,12/2/20 20:00,Target Center,Minnesota Timberwolves,Charlotte Hornets,
16,12/2/20 20:30,American Airlines Center,Dallas Mavericks,Sacramento Kings,
16,12/2/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,
16,12/2/20 21:00,Vivint Smart Home Arena,Utah Jazz,Miami Heat,
16,12/2/20 22:00,Pepsi Center,Denver Nuggets,Los Angeles Lakers,
16,13/2/20 20:00,TD Garden,Boston Celtics,LA Clippers,
16,13/2/20 20:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,
17,20/2/20 19:00,Little Caesars Arena,Detroit Pistons,Milwaukee Bucks,
17,20/2/20 19:30,State Farm Arena,Atlanta Hawks,Miami Heat,
17,20/2/20 20:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,
17,20/2/20 20:00,United Center,Chicago Bulls,Charlotte Hornets,
17,20/2/20 22:00,Golden 1 Center,Sacramento Kings,Memphis Grizzlies,
17,20/2/20 22:30,Chase Center,Golden State Warriors,Houston Rockets,
17,21/2/20 19:00,Amway Center,Orlando Magic,Dallas Mavericks,
17,21/2/20 19:00,Capital One Arena,Washington Wizards,Cleveland Cavaliers,
17,21/2/20 19:30,Madison Square Garden,New York Knicks,Indiana Pacers,
17,21/2/20 19:30,Scotiabank Arena,Toronto Raptors,Phoenix Suns,
17,21/2/20 20:00,Target Center,Minnesota Timberwolves,Boston Celtics,
17,21/2/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,
17,21/2/20 21:00,Vivint Smart Home Arena,Utah Jazz,San Antonio Spurs,
17,21/2/20 22:30,Staples Center,Los Angeles Lakers,Memphis Grizzlies,
17,21/2/20 22:30,Moda Center,Portland Trail Blazers,New Orleans Pelicans,
17,22/2/20 15:30,Staples Center,LA Clippers,Sacramento Kings,
17,22/2/20 19:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,
17,22/2/20 19:30,State Farm Arena,Atlanta Hawks,Dallas Mavericks,
17,22/2/20 20:00,AmericanAirlines Arena,Miami Heat,Cleveland Cavaliers,
17,22/2/20 20:00,United Center,Chicago Bulls,Phoenix Suns,
17,22/2/20 20:30,Fiserv Forum,Milwaukee Bucks,Philadelphia 76ers,
17,22/2/20 21:00,Vivint Smart Home Arena,Utah Jazz,Houston Rockets,
17,23/2/20 15:30,Staples Center,Los Angeles Lakers,Boston Celtics,
17,23/2/20 18:00,Scotiabank Arena,Toronto Raptors,Indiana Pacers,
17,23/2/20 18:00,Pepsi Center,Denver Nuggets,Minnesota Timberwolves,
17,23/2/20 19:00,United Center,Chicago Bulls,Washington Wizards,
17,23/2/20 19:00,Chesapeake Energy Arena,Oklahoma City Thunder,San Antonio Spurs,
17,23/2/20 20:30,Chase Center,Golden State Warriors,New Orleans Pelicans,
17,23/2/20 21:00,Moda Center,Portland Trail Blazers,Detroit Pistons,
17,24/2/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Miami Heat,
17,24/2/20 19:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,
17,24/2/20 19:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
17,24/2/20 19:30,Barclays Center,Brooklyn Nets,Orlando Magic,
17,24/2/20 20:00,Toyota Center,Houston Rockets,New York Knicks,
17,24/2/20 20:30,American Airlines Center,Dallas Mavericks,Minnesota Timberwolves,
17,24/2/20 21:00,Vivint Smart Home Arena,Utah Jazz,Phoenix Suns,
17,24/2/20 22:30,Staples Center,LA Clippers,Memphis Grizzlies,
17,25/2/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Charlotte Hornets,
17,25/2/20 19:30,Scotiabank Arena,Toronto Raptors,Milwaukee Bucks,
17,25/2/20 20:00,United Center,Chicago Bulls,Oklahoma City Thunder,
17,25/2/20 21:00,Pepsi Center,Denver Nuggets,Detroit Pistons,
17,25/2/20 22:00,Staples Center,Los Angeles Lakers,New Orleans Pelicans,
17,25/2/20 22:00,Moda Center,Portland Trail Blazers,Boston Celtics,
17,25/2/20 22:30,Chase Center,Golden State Warriors,Sacramento Kings,
17,26/2/20 19:00,Spectrum Center,Charlotte Hornets,New York Knicks,
17,26/2/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Philadelphia 76ers,
17,26/2/20 19:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
17,26/2/20 19:30,State Farm Arena,Atlanta Hawks,Orlando Magic,
17,26/2/20 19:30,AmericanAirlines Arena,Miami Heat,Minnesota Timberwolves,
17,26/2/20 19:30,AT&T Center,San Antonio Spurs,Dallas Mavericks,
17,26/2/20 20:00,Toyota Center,Houston Rockets,Memphis Grizzlies,
17,26/2/20 21:00,Talking Stick Resort Arena,Phoenix Suns,LA Clippers,
17,26/2/20 22:00,Vivint Smart Home Arena,Utah Jazz,Boston Celtics,
18,27/2/20 19:00,Wells Fargo Center,Philadelphia 76ers,New York Knicks,
18,27/2/20 20:00,Bankers Life Fieldhouse,Indiana Pacers,Portland Trail Blazers,
18,27/2/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,
18,27/2/20 22:30,Chase Center,Golden State Warriors,Los Angeles Lakers,
18,28/2/20 19:00,Amway Center,Orlando Magic,Minnesota Timberwolves,
18,28/2/20 19:30,State Farm Arena,Atlanta Hawks,Brooklyn Nets,
18,28/2/20 19:30,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
18,28/2/20 20:00,AmericanAirlines Arena,Miami Heat,Dallas Mavericks,
18,28/2/20 20:00,FedExForum,Memphis Grizzlies,Sacramento Kings,
18,28/2/20 20:00,Fiserv Forum,Milwaukee Bucks,Oklahoma City Thunder,
18,28/2/20 20:00,Smoothie King Center,New Orleans Pelicans,Cleveland Cavaliers,
18,28/2/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Detroit Pistons,
18,28/2/20 21:00,Vivint Smart Home Arena,Utah Jazz,Washington Wizards,
18,28/2/20 22:30,Staples Center,LA Clippers,Denver Nuggets,
18,29/2/20 17:00,Madison Square Garden,New York Knicks,Chicago Bulls,
18,29/2/20 19:30,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,
18,29/2/20 19:30,AmericanAirlines Arena,Miami Heat,Brooklyn Nets,
18,29/2/20 20:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Indiana Pacers,
18,29/2/20 20:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
18,29/2/20 20:30,TD Garden,Boston Celtics,Houston Rockets,
18,29/2/20 20:30,AT&T Center,San Antonio Spurs,Orlando Magic,
18,29/2/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Golden State Warriors,
18,1/3/20 13:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,
18,1/3/20 15:30,Target Center,Minnesota Timberwolves,Dallas Mavericks,
18,1/3/20 15:30,Staples Center,LA Clippers,Philadelphia 76ers,
18,1/3/20 18:00,Pepsi Center,Denver Nuggets,Toronto Raptors,
18,1/3/20 18:00,Golden 1 Center,Sacramento Kings,Detroit Pistons,
18,1/3/20 20:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,
18,1/3/20 20:30,Chase Center,Golden State Warriors,Washington Wizards,
18,2/3/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Utah Jazz,
18,2/3/20 19:00,Madison Square Garden,New York Knicks,Houston Rockets,
18,2/3/20 19:00,Amway Center,Orlando Magic,Portland Trail Blazers,
18,2/3/20 19:30,State Farm Arena,Atlanta Hawks,Memphis Grizzlies,
18,2/3/20 19:30,AmericanAirlines Arena,Miami Heat,Milwaukee Bucks,
18,2/3/20 20:00,United Center,Chicago Bulls,Dallas Mavericks,
18,2/3/20 20:30,AT&T Center,San Antonio Spurs,Indiana Pacers,
18,3/3/20 19:00,Spectrum Center,Charlotte Hornets,San Antonio Spurs,
18,3/3/20 19:30,TD Garden,Boston Celtics,Brooklyn Nets,
18,3/3/20 20:00,Smoothie King Center,New Orleans Pelicans,Minnesota Timberwolves,
18,3/3/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,LA Clippers,
18,3/3/20 21:00,Pepsi Center,Denver Nuggets,Golden State Warriors,
18,3/3/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Toronto Raptors,
18,3/3/20 22:00,Staples Center,Los Angeles Lakers,Philadelphia 76ers,
18,3/3/20 22:00,Golden 1 Center,Sacramento Kings,Washington Wizards,
18,4/3/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Boston Celtics,
18,4/3/20 19:00,Little Caesars Arena,Detroit Pistons,Oklahoma City Thunder,
18,4/3/20 19:00,AmericanAirlines Arena,Miami Heat,Orlando Magic,
18,4/3/20 19:30,Barclays Center,Brooklyn Nets,Memphis Grizzlies,
18,4/3/20 19:30,Madison Square Garden,New York Knicks,Utah Jazz,
18,4/3/20 20:00,Target Center,Minnesota Timberwolves,Chicago Bulls,
18,4/3/20 20:30,American Airlines Center,Dallas Mavericks,New Orleans Pelicans,
18,4/3/20 21:30,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
18,4/3/20 22:00,Moda Center,Portland Trail Blazers,Washington Wizards,
19,5/3/20 19:00,Spectrum Center,Charlotte Hornets,Denver Nuggets,
19,5/3/20 20:00,Toyota Center,Houston Rockets,LA Clippers,
19,5/3/20 22:00,Golden 1 Center,Sacramento Kings,Philadelphia 76ers,
19,5/3/20 22:30,Chase Center,Golden State Warriors,Toronto Raptors,
19,6/3/20 19:00,Capital One Arena,Washington Wizards,Atlanta Hawks,
19,6/3/20 19:30,Barclays Center,Brooklyn Nets,San Antonio Spurs,
19,6/3/20 19:30,Madison Square Garden,New York Knicks,Oklahoma City Thunder,
19,6/3/20 20:00,TD Garden,Boston Celtics,Utah Jazz,
19,6/3/20 20:00,United Center,Chicago Bulls,Indiana Pacers,
19,6/3/20 20:00,Target Center,Minnesota Timberwolves,Orlando Magic,
19,6/3/20 20:00,Smoothie King Center,New Orleans Pelicans,Miami Heat,
19,6/3/20 20:30,American Airlines Center,Dallas Mavericks,Memphis Grizzlies,
19,6/3/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Portland Trail Blazers,
19,6/3/20 22:30,Staples Center,Los Angeles Lakers,Milwaukee Bucks,
19,7/3/20 17:00,Spectrum Center,Charlotte Hornets,Houston Rockets,
19,7/3/20 19:00,Little Caesars Arena,Detroit Pistons,Utah Jazz,
19,7/3/20 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Denver Nuggets,
19,7/3/20 20:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,
19,7/3/20 20:30,Chase Center,Golden State Warriors,Philadelphia 76ers,
19,7/3/20 22:00,Moda Center,Portland Trail Blazers,Sacramento Kings,
19,8/3/20 15:00,Barclays Center,Brooklyn Nets,Chicago Bulls,
19,8/3/20 15:30,Target Center,Minnesota Timberwolves,New Orleans Pelicans,
19,8/3/20 15:30,Staples Center,LA Clippers,Los Angeles Lakers,
19,8/3/20 18:00,TD Garden,Boston Celtics,Oklahoma City Thunder,
19,8/3/20 18:00,Talking Stick Resort Arena,Phoenix Suns,Milwaukee Bucks,
19,8/3/20 19:00,Capital One Arena,Washington Wizards,Miami Heat,
19,8/3/20 19:00,American Airlines Center,Dallas Mavericks,Indiana Pacers,
19,8/3/20 19:00,Toyota Center,Houston Rockets,Orlando Magic,
19,8/3/20 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,San Antonio Spurs,
19,8/3/20 19:30,Madison Square Garden,New York Knicks,Detroit Pistons,
19,8/3/20 21:00,Golden 1 Center,Sacramento Kings,Toronto Raptors,
19,9/3/20 19:30,State Farm Arena,Atlanta Hawks,Charlotte Hornets,
19,9/3/20 21:00,Pepsi Center,Denver Nuggets,Milwaukee Bucks,
19,9/3/20 21:00,Vivint Smart Home Arena,Utah Jazz,Toronto Raptors,
19,10/3/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Boston Celtics,
19,10/3/20 19:00,Capital One Arena,Washington Wizards,New York Knicks,
19,10/3/20 20:00,United Center,Chicago Bulls,Cleveland Cavaliers,
19,10/3/20 20:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,
19,10/3/20 20:00,FedExForum,Memphis Grizzlies,Orlando Magic,
19,10/3/20 20:00,AT&T Center,San Antonio Spurs,Dallas Mavericks,
19,10/3/20 22:00,Moda Center,Portland Trail Blazers,Phoenix Suns,
19,10/3/20 22:30,Chase Center,Golden State Warriors,LA Clippers,
19,10/3/20 22:30,Staples Center,Los Angeles Lakers,Brooklyn Nets,
19,11/3/20 19:30,State Farm Arena,Atlanta Hawks,New York Knicks,
19,11/3/20 19:30,AmericanAirlines Arena,Miami Heat,Charlotte Hornets,
19,11/3/20 19:30,Wells Fargo Center,Philadelphia 76ers,Detroit Pistons,
19,11/3/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,
19,11/3/20 20:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,
19,11/3/20 22:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
19,12/3/20 19:00,Amway Center,Orlando Magic,Chicago Bulls,
20,12/3/20 20:00,Fiserv Forum,Milwaukee Bucks,Boston Celtics,
20,12/3/20 22:00,Moda Center,Portland Trail Blazers,Memphis Grizzlies,
20,12/3/20 22:30,Chase Center,Golden State Warriors,Brooklyn Nets,
20,12/3/20 22:30,Staples Center,Los Angeles Lakers,Houston Rockets,
20,13/3/20 19:00,Spectrum Center,Charlotte Hornets,Cleveland Cavaliers,
20,13/3/20 19:30,TD Garden,Boston Celtics,Washington Wizards,
20,13/3/20 20:00,AmericanAirlines Arena,Miami Heat,New York Knicks,
20,13/3/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Minnesota Timberwolves,
20,13/3/20 20:30,AT&T Center,San Antonio Spurs,Denver Nuggets,
20,13/3/20 21:00,Vivint Smart Home Arena,Utah Jazz,New Orleans Pelicans,
20,13/3/20 22:30,Staples Center,LA Clippers,Brooklyn Nets,
20,14/3/20 14:00,American Airlines Center,Dallas Mavericks,Phoenix Suns,
20,14/3/20 19:30,State Farm Arena,Atlanta Hawks,Cleveland Cavaliers,
20,14/3/20 19:30,Wells Fargo Center,Philadelphia 76ers,Indiana Pacers,
20,14/3/20 19:30,Scotiabank Arena,Toronto Raptors,Detroit Pistons,
20,14/3/20 20:00,AmericanAirlines Arena,Miami Heat,Chicago Bulls,
20,14/3/20 20:30,Fiserv Forum,Milwaukee Bucks,Golden State Warriors,
20,14/3/20 20:30,AT&T Center,San Antonio Spurs,Minnesota Timberwolves,
20,14/3/20 21:00,Vivint Smart Home Arena,Utah Jazz,Memphis Grizzlies,
20,14/3/20 22:30,Staples Center,LA Clippers,New Orleans Pelicans,
20,15/3/20 15:30,Moda Center,Portland Trail Blazers,Houston Rockets,
20,15/3/20 18:00,Amway Center,Orlando Magic,Charlotte Hornets,
20,15/3/20 18:00,Capital One Arena,Washington Wizards,Oklahoma City Thunder,
20,15/3/20 20:00,United Center,Chicago Bulls,Boston Celtics,
20,15/3/20 21:00,Staples Center,Los Angeles Lakers,Denver Nuggets,
20,15/3/20 21:00,Golden 1 Center,Sacramento Kings,Brooklyn Nets,
20,16/3/20 19:00,Wells Fargo Center,Philadelphia 76ers,Washington Wizards,
20,16/3/20 20:00,Scotiabank Arena,Toronto Raptors,Golden State Warriors,
20,16/3/20 20:00,Fiserv Forum,Milwaukee Bucks,Miami Heat,
20,16/3/20 20:00,Smoothie King Center,New Orleans Pelicans,Atlanta Hawks,
20,16/3/20 20:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,
20,16/3/20 21:00,Vivint Smart Home Arena,Utah Jazz,Los Angeles Lakers,
20,16/3/20 22:30,Staples Center,LA Clippers,Dallas Mavericks,
20,17/3/20 19:00,Little Caesars Arena,Detroit Pistons,Orlando Magic,
20,17/3/20 19:30,Madison Square Garden,New York Knicks,Charlotte Hornets,
20,17/3/20 20:00,Toyota Center,Houston Rockets,Cleveland Cavaliers,
20,17/3/20 20:00,FedExForum,Memphis Grizzlies,Oklahoma City Thunder,
20,17/3/20 22:00,Moda Center,Portland Trail Blazers,Minnesota Timberwolves,
20,17/3/20 22:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
20,18/3/20 19:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,
20,18/3/20 19:30,State Farm Arena,Atlanta Hawks,Oklahoma City Thunder,
20,18/3/20 19:30,TD Garden,Boston Celtics,New York Knicks,
20,18/3/20 19:30,Barclays Center,Brooklyn Nets,Washington Wizards,
20,18/3/20 19:30,Bankers Life Fieldhouse,Indiana Pacers,Golden State Warriors,
20,18/3/20 20:00,United Center,Chicago Bulls,Miami Heat,
20,18/3/20 20:00,Smoothie King Center,New Orleans Pelicans,San Antonio Spurs,
20,18/3/20 21:00,Pepsi Center,Denver Nuggets,LA Clippers,
20,18/3/20 22:00,Staples Center,Los Angeles Lakers,Utah Jazz,
20,18/3/20 22:00,Talking Stick Resort Arena,Phoenix Suns,Minnesota Timberwolves,
20,19/3/20 19:00,Spectrum Center,Charlotte Hornets,Philadelphia 76ers,
20,19/3/20 19:00,Amway Center,Orlando Magic,Cleveland Cavaliers,
21,19/3/20 20:00,Toyota Center,Houston Rockets,Sacramento Kings,
21,19/3/20 20:00,Fiserv Forum,Milwaukee Bucks,Memphis Grizzlies,
21,19/3/20 22:00,Moda Center,Portland Trail Blazers,Dallas Mavericks,
21,20/3/20 19:00,Little Caesars Arena,Detroit Pistons,Golden State Warriors,
21,20/3/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,
21,20/3/20 19:30,State Farm Arena,Atlanta Hawks,Washington Wizards,
21,20/3/20 19:30,Scotiabank Arena,Toronto Raptors,Boston Celtics,
21,20/3/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Denver Nuggets,
21,20/3/20 20:30,AT&T Center,San Antonio Spurs,Chicago Bulls,
21,20/3/20 21:00,Vivint Smart Home Arena,Utah Jazz,Minnesota Timberwolves,
21,20/3/20 22:30,Staples Center,LA Clippers,Phoenix Suns,
21,21/3/20 18:00,Barclays Center,Brooklyn Nets,Boston Celtics,
21,21/3/20 19:00,Spectrum Center,Charlotte Hornets,Los Angeles Lakers,
21,21/3/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Cleveland Cavaliers,
21,21/3/20 19:00,Amway Center,Orlando Magic,Sacramento Kings,
21,21/3/20 19:00,Wells Fargo Center,Philadelphia 76ers,Atlanta Hawks,
21,21/3/20 19:30,Madison Square Garden,New York Knicks,Golden State Warriors,
21,21/3/20 20:00,Capital One Arena,Washington Wizards,Milwaukee Bucks,
21,21/3/20 20:00,Toyota Center,Houston Rockets,Chicago Bulls,
21,21/3/20 20:00,FedExForum,Memphis Grizzlies,New Orleans Pelicans,
21,21/3/20 22:00,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,
21,22/3/20 18:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,
21,22/3/20 18:00,Scotiabank Arena,Toronto Raptors,Denver Nuggets,
21,22/3/20 19:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,
21,22/3/20 19:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
21,22/3/20 19:00,AT&T Center,San Antonio Spurs,Utah Jazz,
21,23/3/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Phoenix Suns,
21,23/3/20 19:00,Madison Square Garden,New York Knicks,LA Clippers,
21,23/3/20 19:00,Capital One Arena,Washington Wizards,Boston Celtics,
21,23/3/20 19:30,Barclays Center,Brooklyn Nets,Orlando Magic,
21,23/3/20 19:30,AmericanAirlines Arena,Miami Heat,Oklahoma City Thunder,
21,23/3/20 20:00,United Center,Chicago Bulls,Denver Nuggets,
21,23/3/20 20:00,Fiserv Forum,Milwaukee Bucks,Detroit Pistons,
21,23/3/20 20:30,American Airlines Center,Dallas Mavericks,Houston Rockets,
21,24/3/20 19:00,Spectrum Center,Charlotte Hornets,Portland Trail Blazers,
21,24/3/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Sacramento Kings,
21,24/3/20 19:30,Scotiabank Arena,Toronto Raptors,Los Angeles Lakers,
21,24/3/20 20:00,Target Center,Minnesota Timberwolves,Philadelphia 76ers,
21,24/3/20 20:00,Smoothie King Center,New Orleans Pelicans,Memphis Grizzlies,
21,24/3/20 22:00,Vivint Smart Home Arena,Utah Jazz,San Antonio Spurs,
21,25/3/20 19:00,Barclays Center,Brooklyn Nets,LA Clippers,
21,25/3/20 19:00,Little Caesars Arena,Detroit Pistons,Portland Trail Blazers,
21,25/3/20 19:00,Amway Center,Orlando Magic,Indiana Pacers,
21,25/3/20 19:00,Capital One Arena,Washington Wizards,Phoenix Suns,
21,25/3/20 19:30,AmericanAirlines Arena,Miami Heat,Denver Nuggets,
21,25/3/20 19:30,Madison Square Garden,New York Knicks,Toronto Raptors,
21,25/3/20 20:00,FedExForum,Memphis Grizzlies,Boston Celtics,
21,25/3/20 21:30,Fiserv Forum,Milwaukee Bucks,Houston Rockets,
21,25/3/20 22:30,Chase Center,Golden State Warriors,Atlanta Hawks,
21,26/3/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Los Angeles Lakers,
22,26/3/20 20:00,United Center,Chicago Bulls,Philadelphia 76ers,
22,26/3/20 20:00,Target Center,Minnesota Timberwolves,San Antonio Spurs,
22,26/3/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Charlotte Hornets,
22,26/3/20 20:30,American Airlines Center,Dallas Mavericks,Utah Jazz,
22,26/3/20 22:00,Golden 1 Center,Sacramento Kings,Atlanta Hawks,
22,27/3/20 19:00,Little Caesars Arena,Detroit Pistons,LA Clippers,
22,27/3/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Houston Rockets,
22,27/3/20 19:00,Amway Center,Orlando Magic,Brooklyn Nets,
22,27/3/20 19:00,Wells Fargo Center,Philadelphia 76ers,Phoenix Suns,
22,27/3/20 19:30,TD Garden,Boston Celtics,Portland Trail Blazers,
22,27/3/20 20:00,Smoothie King Center,New Orleans Pelicans,New York Knicks,
22,27/3/20 20:30,Fiserv Forum,Milwaukee Bucks,Washington Wizards,
22,27/3/20 21:00,Pepsi Center,Denver Nuggets,San Antonio Spurs,
22,28/3/20 18:00,Barclays Center,Brooklyn Nets,Cleveland Cavaliers,
22,28/3/20 19:00,Spectrum Center,Charlotte Hornets,LA Clippers,
22,28/3/20 20:00,AmericanAirlines Arena,Miami Heat,Phoenix Suns,
22,28/3/20 20:00,Capital One Arena,Washington Wizards,Los Angeles Lakers,
22,28/3/20 20:00,United Center,Chicago Bulls,New York Knicks,
22,28/3/20 20:00,FedExForum,Memphis Grizzlies,Toronto Raptors,
22,28/3/20 20:30,Chase Center,Golden State Warriors,Oklahoma City Thunder,
22,28/3/20 21:00,Vivint Smart Home Arena,Utah Jazz,Atlanta Hawks,
22,29/3/20 15:00,American Airlines Center,Dallas Mavericks,Milwaukee Bucks,
22,29/3/20 17:00,Little Caesars Arena,Detroit Pistons,Houston Rockets,
22,29/3/20 18:00,TD Garden,Boston Celtics,Minnesota Timberwolves,
22,29/3/20 18:00,Amway Center,Orlando Magic,New Orleans Pelicans,
22,29/3/20 19:30,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,
22,29/3/20 20:30,Chase Center,Golden State Warriors,San Antonio Spurs,
22,29/3/20 21:00,Golden 1 Center,Sacramento Kings,Indiana Pacers,
22,30/3/20 19:00,Spectrum Center,Charlotte Hornets,Miami Heat,
22,30/3/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Phoenix Suns,
22,30/3/20 19:30,Barclays Center,Brooklyn Nets,Portland Trail Blazers,
22,30/3/20 19:30,Scotiabank Arena,Toronto Raptors,Memphis Grizzlies,
22,30/3/20 20:00,Target Center,Minnesota Timberwolves,Los Angeles Lakers,
22,30/3/20 21:00,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,
22,30/3/20 21:00,Vivint Smart Home Arena,Utah Jazz,Chicago Bulls,
22,30/3/20 22:30,Staples Center,LA Clippers,Indiana Pacers,
22,31/3/20 19:30,State Farm Arena,Atlanta Hawks,New Orleans Pelicans,
22,31/3/20 19:30,Wells Fargo Center,Philadelphia 76ers,Houston Rockets,
22,31/3/20 22:00,Chase Center,Golden State Warriors,Denver Nuggets,
22,31/3/20 22:00,Golden 1 Center,Sacramento Kings,San Antonio Spurs,
22,1/4/20 19:00,Amway Center,Orlando Magic,Charlotte Hornets,
22,1/4/20 19:00,Capital One Arena,Washington Wizards,New Orleans Pelicans,
22,1/4/20 19:30,TD Garden,Boston Celtics,Miami Heat,
22,1/4/20 19:30,Barclays Center,Brooklyn Nets,Detroit Pistons,
22,1/4/20 20:00,FedExForum,Memphis Grizzlies,New York Knicks,
22,1/4/20 20:00,Target Center,Minnesota Timberwolves,Dallas Mavericks,
22,1/4/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Phoenix Suns,
22,1/4/20 21:00,Fiserv Forum,Milwaukee Bucks,Toronto Raptors,
22,1/4/20 21:00,Vivint Smart Home Arena,Utah Jazz,Cleveland Cavaliers,
22,1/4/20 22:30,Staples Center,Los Angeles Lakers,Indiana Pacers,
23,2/4/20 20:00,Toyota Center,Houston Rockets,Golden State Warriors,
23,2/4/20 22:00,Golden 1 Center,Sacramento Kings,LA Clippers,
