Round Number,Date,Location,Home Team,Away Team,Result
11,4/1/20 20:30,American Airlines Center,Dallas Mavericks,Charlotte Hornets,
11,4/1/20 20:30,Fiserv Forum,Milwaukee Bucks,San Antonio Spurs,
11,4/1/20 20:30,Chase Center,Golden State Warriors,Detroit Pistons,
11,4/1/20 22:00,Golden 1 Center,Sacramento Kings,New Orleans Pelicans,
11,5/1/20 15:30,Staples Center,LA Clippers,New York Knicks,
11,5/1/20 18:00,AmericanAirlines Arena,Miami Heat,Portland Trail Blazers,
11,5/1/20 19:30,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Minnesota Timberwolves,
11,5/1/20 20:00,Talking Stick Resort Arena,Phoenix Suns,Memphis Grizzlies,
11,5/1/20 22:00,Staples Center,Los Angeles Lakers,Detroit Pistons,
11,6/1/20 19:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,
11,6/1/20 19:00,Amway Center,Orlando Magic,Brooklyn Nets,
11,6/1/20 19:00,Wells Fargo Center,Philadelphia 76ers,Oklahoma City Thunder,
11,6/1/20 19:00,Capital One Arena,Washington Wizards,Boston Celtics,
11,6/1/20 19:30,State Farm Arena,Atlanta Hawks,Denver Nuggets,
11,6/1/20 20:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,
11,6/1/20 20:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,
11,6/1/20 20:30,AT&T Center,San Antonio Spurs,Milwaukee Bucks,
11,6/1/20 22:00,Golden 1 Center,Sacramento Kings,Golden State Warriors,
11,7/1/20 19:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Detroit Pistons,
11,7/1/20 19:00,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,
11,7/1/20 19:30,Barclays Center,Brooklyn Nets,Oklahoma City Thunder,
11,7/1/20 20:00,FedExForum,Memphis Grizzlies,Minnesota Timberwolves,
11,7/1/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Sacramento Kings,
11,7/1/20 22:30,Staples Center,Los Angeles Lakers,New York Knicks,
11,8/1/20 19:00,TD Garden,Boston Celtics,San Antonio Spurs,
11,8/1/20 19:00,Spectrum Center,Charlotte Hornets,Toronto Raptors,
11,8/1/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Miami Heat,
11,8/1/20 19:00,Amway Center,Orlando Magic,Washington Wizards,
11,8/1/20 19:30,State Farm Arena,Atlanta Hawks,Houston Rockets,
11,8/1/20 19:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,
11,8/1/20 20:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,
11,8/1/20 21:00,Vivint Smart Home Arena,Utah Jazz,New York Knicks,
11,8/1/20 22:00,Chase Center,Golden State Warriors,Milwaukee Bucks,
12,9/1/20 19:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,
12,9/1/20 19:00,Wells Fargo Center,Philadelphia 76ers,Boston Celtics,
12,9/1/20 20:00,Target Center,Minnesota Timberwolves,Portland Trail Blazers,
12,9/1/20 21:30,Chesapeake Energy Arena,Oklahoma City Thunder,Houston Rockets,
12,10/1/20 19:00,Capital One Arena,Washington Wizards,Atlanta Hawks,
12,10/1/20 19:30,Barclays Center,Brooklyn Nets,Miami Heat,
12,10/1/20 20:00,Madison Square Garden,New York Knicks,New Orleans Pelicans,
12,10/1/20 20:00,United Center,Chicago Bulls,Indiana Pacers,
12,10/1/20 20:00,FedExForum,Memphis Grizzlies,San Antonio Spurs,
12,10/1/20 20:30,American Airlines Center,Dallas Mavericks,Los Angeles Lakers,
12,10/1/20 21:00,Talking Stick Resort Arena,Phoenix Suns,Orlando Magic,
12,10/1/20 21:00,Vivint Smart Home Arena,Utah Jazz,Charlotte Hornets,
12,10/1/20 22:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,
12,10/1/20 22:30,Staples Center,LA Clippers,Golden State Warriors,
12,11/1/20 17:00,Toyota Center,Houston Rockets,Minnesota Timberwolves,
12,11/1/20 19:00,TD Garden,Boston Celtics,New Orleans Pelicans,
12,11/1/20 19:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,
12,11/1/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Los Angeles Lakers,
12,11/1/20 20:30,American Airlines Center,Dallas Mavericks,Philadelphia 76ers,
12,11/1/20 21:00,Pepsi Center,Denver Nuggets,Cleveland Cavaliers,
12,11/1/20 22:00,Moda Center,Portland Trail Blazers,Milwaukee Bucks,
12,12/1/20 15:30,Madison Square Garden,New York Knicks,Miami Heat,
12,12/1/20 15:30,Capital One Arena,Washington Wizards,Utah Jazz,
12,12/1/20 18:00,Barclays Center,Brooklyn Nets,Atlanta Hawks,
12,12/1/20 18:00,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,
12,12/1/20 18:00,FedExForum,Memphis Grizzlies,Golden State Warriors,
12,12/1/20 20:00,Pepsi Center,Denver Nuggets,LA Clippers,
12,12/1/20 20:00,Talking Stick Resort Arena,Phoenix Suns,Charlotte Hornets,
12,13/1/20 19:00,Little Caesars Arena,Detroit Pistons,New Orleans Pelicans,
12,13/1/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,
12,13/1/20 19:30,TD Garden,Boston Celtics,Chicago Bulls,
12,13/1/20 20:00,Target Center,Minnesota Timberwolves,Oklahoma City Thunder,
12,13/1/20 22:00,Moda Center,Portland Trail Blazers,Charlotte Hornets,
12,13/1/20 22:00,Golden 1 Center,Sacramento Kings,Orlando Magic,
12,13/1/20 22:30,Staples Center,Los Angeles Lakers,Cleveland Cavaliers,
12,14/1/20 19:30,State Farm Arena,Atlanta Hawks,Phoenix Suns,
12,14/1/20 19:30,Barclays Center,Brooklyn Nets,Utah Jazz,
12,14/1/20 20:00,FedExForum,Memphis Grizzlies,Houston Rockets,
12,14/1/20 20:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,
12,14/1/20 22:30,Chase Center,Golden State Warriors,Dallas Mavericks,
12,14/1/20 22:30,Staples Center,LA Clippers,Cleveland Cavaliers,
12,15/1/20 19:00,TD Garden,Boston Celtics,Detroit Pistons,
12,15/1/20 19:00,Wells Fargo Center,Philadelphia 76ers,Brooklyn Nets,
12,15/1/20 19:30,AmericanAirlines Arena,Miami Heat,San Antonio Spurs,
12,15/1/20 20:00,United Center,Chicago Bulls,Washington Wizards,
12,15/1/20 20:00,Target Center,Minnesota Timberwolves,Indiana Pacers,
12,15/1/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Toronto Raptors,
12,15/1/20 21:00,Pepsi Center,Denver Nuggets,Charlotte Hornets,
12,15/1/20 21:30,Toyota Center,Houston Rockets,Portland Trail Blazers,
12,15/1/20 22:00,Golden 1 Center,Sacramento Kings,Dallas Mavericks,
12,15/1/20 22:30,Staples Center,Los Angeles Lakers,Orlando Magic,
13,16/1/20 19:30,Madison Square Garden,New York Knicks,Phoenix Suns,
13,16/1/20 20:00,Fiserv Forum,Milwaukee Bucks,Boston Celtics,
13,16/1/20 20:00,Smoothie King Center,New Orleans Pelicans,Utah Jazz,
13,16/1/20 22:30,Chase Center,Golden State Warriors,Denver Nuggets,
13,16/1/20 22:30,Staples Center,LA Clippers,Orlando Magic,
13,17/1/20 19:00,Bankers Life Fieldhouse,Indiana Pacers,Minnesota Timberwolves,
13,17/1/20 19:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
13,17/1/20 19:00,Scotiabank Arena,Toronto Raptors,Washington Wizards,
13,17/1/20 20:00,FedExForum,Memphis Grizzlies,Cleveland Cavaliers,
13,17/1/20 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Miami Heat,
13,17/1/20 20:30,AT&T Center,San Antonio Spurs,Atlanta Hawks,
13,17/1/20 21:30,American Airlines Center,Dallas Mavericks,Portland Trail Blazers,
13,18/1/20 15:30,Smoothie King Center,New Orleans Pelicans,LA Clippers,
13,18/1/20 18:00,Barclays Center,Brooklyn Nets,Milwaukee Bucks,
13,18/1/20 19:00,TD Garden,Boston Celtics,Phoenix Suns,
13,18/1/20 19:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,
13,18/1/20 19:30,Madison Square Garden,New York Knicks,Philadelphia 76ers,
13,18/1/20 20:00,United Center,Chicago Bulls,Cleveland Cavaliers,
13,18/1/20 20:00,Target Center,Minnesota Timberwolves,Toronto Raptors,
13,18/1/20 20:30,Toyota Center,Houston Rockets,Los Angeles Lakers,
13,18/1/20 20:30,Chase Center,Golden State Warriors,Orlando Magic,
13,18/1/20 21:00,Chesapeake Energy Arena,Oklahoma City Thunder,Portland Trail Blazers,
13,18/1/20 21:00,Vivint Smart Home Arena,Utah Jazz,Sacramento Kings,
13,19/1/20 15:00,AT&T Center,San Antonio Spurs,Miami Heat,
13,19/1/20 20:00,Pepsi Center,Denver Nuggets,Indiana Pacers,
13,20/1/20 14:00,Capital One Arena,Washington Wizards,Detroit Pistons,
13,20/1/20 14:30,State Farm Arena,Atlanta Hawks,Toronto Raptors,
13,20/1/20 15:00,Barclays Center,Brooklyn Nets,Philadelphia 76ers,
