"Round.Number","Date","Location","Home.Team","Away.Team","Result"
20,2020-03-17,"Little Caesars Arena","Detroit Pistons","Orlando Magic",""
20,2020-03-17,"Madison Square Garden","New York Knicks","Charlotte Hornets",""
20,2020-03-17,"Toyota Center","Houston Rockets","Cleveland Cavaliers",""
20,2020-03-17,"FedExForum","Memphis Grizzlies","Oklahoma City Thunder",""
20,2020-03-17,"Moda Center","Portland Trail Blazers","Minnesota Timberwolves",""
20,2020-03-17,"Golden 1 Center","Sacramento Kings","Dallas Mavericks",""
20,2020-03-18,"Wells Fargo Center","Philadelphia 76ers","Toronto Raptors",""
20,2020-03-18,"State Farm Arena","Atlanta Hawks","Oklahoma City Thunder",""
20,2020-03-18,"TD Garden","Boston Celtics","New York Knicks",""
20,2020-03-18,"Barclays Center","Brooklyn Nets","Washington Wizards",""
20,2020-03-18,"Bankers Life Fieldhouse","Indiana Pacers","Golden State Warriors",""
20,2020-03-18,"United Center","Chicago Bulls","Miami Heat",""
20,2020-03-18,"Smoothie King Center","New Orleans Pelicans","San Antonio Spurs",""
20,2020-03-18,"Pepsi Center","Denver Nuggets","LA Clippers",""
20,2020-03-18,"Staples Center","Los Angeles Lakers","Utah Jazz",""
20,2020-03-18,"Talking Stick Resort Arena","Phoenix Suns","Minnesota Timberwolves",""
20,2020-03-19,"Spectrum Center","Charlotte Hornets","Philadelphia 76ers",""
20,2020-03-19,"Amway Center","Orlando Magic","Cleveland Cavaliers",""
21,2020-03-19,"Toyota Center","Houston Rockets","Sacramento Kings",""
21,2020-03-19,"Fiserv Forum","Milwaukee Bucks","Memphis Grizzlies",""
21,2020-03-19,"Moda Center","Portland Trail Blazers","Dallas Mavericks",""
21,2020-03-20,"Little Caesars Arena","Detroit Pistons","Golden State Warriors",""
21,2020-03-20,"Bankers Life Fieldhouse","Indiana Pacers","Miami Heat",""
21,2020-03-20,"State Farm Arena","Atlanta Hawks","Washington Wizards",""
21,2020-03-20,"Scotiabank Arena","Toronto Raptors","Boston Celtics",""
21,2020-03-20,"Chesapeake Energy Arena","Oklahoma City Thunder","Denver Nuggets",""
21,2020-03-20,"AT&T Center","San Antonio Spurs","Chicago Bulls",""
21,2020-03-20,"Vivint Smart Home Arena","Utah Jazz","Minnesota Timberwolves",""
21,2020-03-20,"Staples Center","LA Clippers","Phoenix Suns",""
21,2020-03-21,"Barclays Center","Brooklyn Nets","Boston Celtics",""
21,2020-03-21,"Spectrum Center","Charlotte Hornets","Los Angeles Lakers",""
21,2020-03-21,"Bankers Life Fieldhouse","Indiana Pacers","Cleveland Cavaliers",""
21,2020-03-21,"Amway Center","Orlando Magic","Sacramento Kings",""
21,2020-03-21,"Wells Fargo Center","Philadelphia 76ers","Atlanta Hawks",""
21,2020-03-21,"Madison Square Garden","New York Knicks","Golden State Warriors",""
21,2020-03-21,"Capital One Arena","Washington Wizards","Milwaukee Bucks",""
21,2020-03-21,"Toyota Center","Houston Rockets","Chicago Bulls",""
21,2020-03-21,"FedExForum","Memphis Grizzlies","New Orleans Pelicans",""
21,2020-03-21,"Talking Stick Resort Arena","Phoenix Suns","Dallas Mavericks",""
21,2020-03-22,"Little Caesars Arena","Detroit Pistons","Los Angeles Lakers",""
21,2020-03-22,"Scotiabank Arena","Toronto Raptors","Denver Nuggets",""
21,2020-03-22,"Target Center","Minnesota Timberwolves","Portland Trail Blazers",""
21,2020-03-22,"Smoothie King Center","New Orleans Pelicans","Sacramento Kings",""
21,2020-03-22,"AT&T Center","San Antonio Spurs","Utah Jazz",""
21,2020-03-23,"Bankers Life Fieldhouse","Indiana Pacers","Phoenix Suns",""
21,2020-03-23,"Madison Square Garden","New York Knicks","LA Clippers",""
21,2020-03-23,"Capital One Arena","Washington Wizards","Boston Celtics",""
21,2020-03-23,"Barclays Center","Brooklyn Nets","Orlando Magic",""
21,2020-03-23,"AmericanAirlines Arena","Miami Heat","Oklahoma City Thunder",""
21,2020-03-23,"United Center","Chicago Bulls","Denver Nuggets",""
21,2020-03-23,"Fiserv Forum","Milwaukee Bucks","Detroit Pistons",""
21,2020-03-23,"American Airlines Center","Dallas Mavericks","Houston Rockets",""
21,2020-03-24,"Spectrum Center","Charlotte Hornets","Portland Trail Blazers",""
21,2020-03-24,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Sacramento Kings",""
21,2020-03-24,"Scotiabank Arena","Toronto Raptors","Los Angeles Lakers",""
21,2020-03-24,"Target Center","Minnesota Timberwolves","Philadelphia 76ers",""
21,2020-03-24,"Smoothie King Center","New Orleans Pelicans","Memphis Grizzlies",""
21,2020-03-24,"Vivint Smart Home Arena","Utah Jazz","San Antonio Spurs",""
21,2020-03-25,"Barclays Center","Brooklyn Nets","LA Clippers",""
21,2020-03-25,"Little Caesars Arena","Detroit Pistons","Portland Trail Blazers",""
21,2020-03-25,"Amway Center","Orlando Magic","Indiana Pacers",""
21,2020-03-25,"Capital One Arena","Washington Wizards","Phoenix Suns",""
21,2020-03-25,"AmericanAirlines Arena","Miami Heat","Denver Nuggets",""
21,2020-03-25,"Madison Square Garden","New York Knicks","Toronto Raptors",""
21,2020-03-25,"FedExForum","Memphis Grizzlies","Boston Celtics",""
21,2020-03-25,"Fiserv Forum","Milwaukee Bucks","Houston Rockets",""
21,2020-03-25,"Chase Center","Golden State Warriors","Atlanta Hawks",""
21,2020-03-26,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Los Angeles Lakers",""
22,2020-03-26,"United Center","Chicago Bulls","Philadelphia 76ers",""
22,2020-03-26,"Target Center","Minnesota Timberwolves","San Antonio Spurs",""
22,2020-03-26,"Chesapeake Energy Arena","Oklahoma City Thunder","Charlotte Hornets",""
22,2020-03-26,"American Airlines Center","Dallas Mavericks","Utah Jazz",""
22,2020-03-26,"Golden 1 Center","Sacramento Kings","Atlanta Hawks",""
22,2020-03-27,"Little Caesars Arena","Detroit Pistons","LA Clippers",""
22,2020-03-27,"Bankers Life Fieldhouse","Indiana Pacers","Houston Rockets",""
22,2020-03-27,"Amway Center","Orlando Magic","Brooklyn Nets",""
22,2020-03-27,"Wells Fargo Center","Philadelphia 76ers","Phoenix Suns",""
22,2020-03-27,"TD Garden","Boston Celtics","Portland Trail Blazers",""
22,2020-03-27,"Smoothie King Center","New Orleans Pelicans","New York Knicks",""
22,2020-03-27,"Fiserv Forum","Milwaukee Bucks","Washington Wizards",""
22,2020-03-27,"Pepsi Center","Denver Nuggets","San Antonio Spurs",""
22,2020-03-28,"Barclays Center","Brooklyn Nets","Cleveland Cavaliers",""
22,2020-03-28,"Spectrum Center","Charlotte Hornets","LA Clippers",""
22,2020-03-28,"AmericanAirlines Arena","Miami Heat","Phoenix Suns",""
22,2020-03-28,"Capital One Arena","Washington Wizards","Los Angeles Lakers",""
22,2020-03-28,"United Center","Chicago Bulls","New York Knicks",""
22,2020-03-28,"FedExForum","Memphis Grizzlies","Toronto Raptors",""
22,2020-03-28,"Chase Center","Golden State Warriors","Oklahoma City Thunder",""
22,2020-03-28,"Vivint Smart Home Arena","Utah Jazz","Atlanta Hawks",""
22,2020-03-29,"American Airlines Center","Dallas Mavericks","Milwaukee Bucks",""
22,2020-03-29,"Little Caesars Arena","Detroit Pistons","Houston Rockets",""
22,2020-03-29,"TD Garden","Boston Celtics","Minnesota Timberwolves",""
22,2020-03-29,"Amway Center","Orlando Magic","New Orleans Pelicans",""
22,2020-03-29,"Wells Fargo Center","Philadelphia 76ers","Portland Trail Blazers",""
22,2020-03-29,"Chase Center","Golden State Warriors","San Antonio Spurs",""
22,2020-03-29,"Golden 1 Center","Sacramento Kings","Indiana Pacers",""
22,2020-03-30,"Spectrum Center","Charlotte Hornets","Miami Heat",""
22,2020-03-30,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Phoenix Suns",""
22,2020-03-30,"Barclays Center","Brooklyn Nets","Portland Trail Blazers",""
22,2020-03-30,"Scotiabank Arena","Toronto Raptors","Memphis Grizzlies",""
22,2020-03-30,"Target Center","Minnesota Timberwolves","Los Angeles Lakers",""
22,2020-03-30,"Pepsi Center","Denver Nuggets","Oklahoma City Thunder",""
22,2020-03-30,"Vivint Smart Home Arena","Utah Jazz","Chicago Bulls",""
22,2020-03-30,"Staples Center","LA Clippers","Indiana Pacers",""
22,2020-03-31,"State Farm Arena","Atlanta Hawks","New Orleans Pelicans",""
22,2020-03-31,"Wells Fargo Center","Philadelphia 76ers","Houston Rockets",""
22,2020-03-31,"Chase Center","Golden State Warriors","Denver Nuggets",""
22,2020-03-31,"Golden 1 Center","Sacramento Kings","San Antonio Spurs",""
22,2020-04-01,"Amway Center","Orlando Magic","Charlotte Hornets",""
22,2020-04-01,"Capital One Arena","Washington Wizards","New Orleans Pelicans",""
22,2020-04-01,"TD Garden","Boston Celtics","Miami Heat",""
22,2020-04-01,"Barclays Center","Brooklyn Nets","Detroit Pistons",""
22,2020-04-01,"FedExForum","Memphis Grizzlies","New York Knicks",""
22,2020-04-01,"Target Center","Minnesota Timberwolves","Dallas Mavericks",""
22,2020-04-01,"Chesapeake Energy Arena","Oklahoma City Thunder","Phoenix Suns",""
22,2020-04-01,"Fiserv Forum","Milwaukee Bucks","Toronto Raptors",""
22,2020-04-01,"Vivint Smart Home Arena","Utah Jazz","Cleveland Cavaliers",""
22,2020-04-01,"Staples Center","Los Angeles Lakers","Indiana Pacers",""
23,2020-04-02,"Toyota Center","Houston Rockets","Golden State Warriors",""
23,2020-04-02,"Golden 1 Center","Sacramento Kings","LA Clippers",""
23,2020-04-02,"Moda Center","Portland Trail Blazers","Utah Jazz",""
23,2020-04-03,"Little Caesars Arena","Detroit Pistons","Miami Heat",""
23,2020-04-03,"Bankers Life Fieldhouse","Indiana Pacers","Brooklyn Nets",""
23,2020-04-03,"Capital One Arena","Washington Wizards","Philadelphia 76ers",""
23,2020-04-03,"State Farm Arena","Atlanta Hawks","Charlotte Hornets",""
23,2020-04-03,"TD Garden","Boston Celtics","Orlando Magic",""
23,2020-04-03,"Madison Square Garden","New York Knicks","Minnesota Timberwolves",""
23,2020-04-03,"Scotiabank Arena","Toronto Raptors","Milwaukee Bucks",""
23,2020-04-03,"FedExForum","Memphis Grizzlies","Dallas Mavericks",""
23,2020-04-03,"AT&T Center","San Antonio Spurs","Golden State Warriors",""
23,2020-04-03,"Pepsi Center","Denver Nuggets","Chicago Bulls",""
23,2020-04-03,"Talking Stick Resort Arena","Phoenix Suns","Cleveland Cavaliers",""
23,2020-04-04,"Staples Center","LA Clippers","Oklahoma City Thunder",""
23,2020-04-04,"Golden 1 Center","Sacramento Kings","Los Angeles Lakers",""
23,2020-04-05,"Spectrum Center","Charlotte Hornets","Atlanta Hawks",""
23,2020-04-05,"Wells Fargo Center","Philadelphia 76ers","Orlando Magic",""
23,2020-04-05,"TD Garden","Boston Celtics","Milwaukee Bucks",""
23,2020-04-05,"Bankers Life Fieldhouse","Indiana Pacers","Washington Wizards",""
23,2020-04-05,"Madison Square Garden","New York Knicks","Miami Heat",""
23,2020-04-05,"Barclays Center","Brooklyn Nets","Dallas Mavericks",""
23,2020-04-05,"Pepsi Center","Denver Nuggets","Utah Jazz",""
23,2020-04-05,"Talking Stick Resort Arena","Phoenix Suns","Chicago Bulls",""
23,2020-04-05,"Toyota Center","Houston Rockets","Toronto Raptors",""
23,2020-04-05,"Target Center","Minnesota Timberwolves","Detroit Pistons",""
23,2020-04-05,"AT&T Center","San Antonio Spurs","New Orleans Pelicans",""
23,2020-04-05,"Moda Center","Portland Trail Blazers","Memphis Grizzlies",""
23,2020-04-05,"Golden 1 Center","Sacramento Kings","Cleveland Cavaliers",""
23,2020-04-05,"Staples Center","Los Angeles Lakers","Oklahoma City Thunder",""
23,2020-04-07,"Capital One Arena","Washington Wizards","Toronto Raptors",""
23,2020-04-07,"State Farm Arena","Atlanta Hawks","Detroit Pistons",""
23,2020-04-07,"AmericanAirlines Arena","Miami Heat","Indiana Pacers",""
23,2020-04-07,"Wells Fargo Center","Philadelphia 76ers","Milwaukee Bucks",""
23,2020-04-07,"Target Center","Minnesota Timberwolves","Phoenix Suns",""
23,2020-04-07,"Smoothie King Center","New Orleans Pelicans","Charlotte Hornets",""
23,2020-04-07,"Chesapeake Energy Arena","Oklahoma City Thunder","Brooklyn Nets",""
23,2020-04-07,"American Airlines Center","Dallas Mavericks","Houston Rockets",""
23,2020-04-07,"AT&T Center","San Antonio Spurs","Sacramento Kings",""
23,2020-04-07,"Pepsi Center","Denver Nuggets","Memphis Grizzlies",""
23,2020-04-07,"Vivint Smart Home Arena","Utah Jazz","LA Clippers",""
23,2020-04-07,"Moda Center","Portland Trail Blazers","Cleveland Cavaliers",""
23,2020-04-07,"Staples Center","Los Angeles Lakers","Chicago Bulls",""
23,2020-04-08,"TD Garden","Boston Celtics","Indiana Pacers",""
23,2020-04-08,"Spectrum Center","Charlotte Hornets","Toronto Raptors",""
23,2020-04-08,"Madison Square Garden","New York Knicks","Orlando Magic",""
23,2020-04-08,"Toyota Center","Houston Rockets","San Antonio Spurs",""
23,2020-04-08,"Chase Center","Golden State Warriors","Cleveland Cavaliers",""
23,2020-04-08,"Staples Center","LA Clippers","Chicago Bulls",""
23,2020-04-09,"AmericanAirlines Arena","Miami Heat","Detroit Pistons",""
24,2020-04-09,"Fiserv Forum","Milwaukee Bucks","Brooklyn Nets",""
24,2020-04-09,"Target Center","Minnesota Timberwolves","Sacramento Kings",""
24,2020-04-09,"Smoothie King Center","New Orleans Pelicans","Phoenix Suns",""
24,2020-04-09,"Moda Center","Portland Trail Blazers","Denver Nuggets",""
24,2020-04-09,"Staples Center","Los Angeles Lakers","Golden State Warriors",""
24,2020-04-10,"Amway Center","Orlando Magic","Boston Celtics",""
24,2020-04-10,"Scotiabank Arena","Toronto Raptors","Atlanta Hawks",""
24,2020-04-10,"Toyota Center","Houston Rockets","Washington Wizards",""
24,2020-04-10,"Chesapeake Energy Arena","Oklahoma City Thunder","New York Knicks",""
24,2020-04-10,"AT&T Center","San Antonio Spurs","Philadelphia 76ers",""
24,2020-04-11,"American Airlines Center","Dallas Mavericks","Detroit Pistons",""
24,2020-04-11,"Spectrum Center","Charlotte Hornets","Washington Wizards",""
24,2020-04-11,"Bankers Life Fieldhouse","Indiana Pacers","Orlando Magic",""
24,2020-04-11,"Smoothie King Center","New Orleans Pelicans","Philadelphia 76ers",""
24,2020-04-11,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Milwaukee Bucks",""
24,2020-04-11,"AmericanAirlines Arena","Miami Heat","Boston Celtics",""
24,2020-04-11,"United Center","Chicago Bulls","Brooklyn Nets",""
24,2020-04-11,"FedExForum","Memphis Grizzlies","Oklahoma City Thunder",""
24,2020-04-11,"Staples Center","LA Clippers","Golden State Warriors",""
24,2020-04-11,"Pepsi Center","Denver Nuggets","Sacramento Kings",""
24,2020-04-11,"Talking Stick Resort Arena","Phoenix Suns","Utah Jazz",""
24,2020-04-12,"AT&T Center","San Antonio Spurs","Houston Rockets",""
24,2020-04-12,"Scotiabank Arena","Toronto Raptors","New York Knicks",""
24,2020-04-12,"Fiserv Forum","Milwaukee Bucks","Atlanta Hawks",""
24,2020-04-12,"Staples Center","Los Angeles Lakers","Minnesota Timberwolves",""
24,2020-04-13,"Spectrum Center","Charlotte Hornets","Miami Heat",""
24,2020-04-13,"Rocket Mortgage FieldHouse","Cleveland Cavaliers","Brooklyn Nets",""
24,2020-04-13,"Little Caesars Arena","Detroit Pistons","Boston Celtics",""
24,2020-04-13,"Bankers Life Fieldhouse","Indiana Pacers","San Antonio Spurs",""
24,2020-04-13,"United Center","Chicago Bulls","Orlando Magic",""
24,2020-04-13,"Toyota Center","Houston Rockets","Phoenix Suns",""
24,2020-04-13,"FedExForum","Memphis Grizzlies","Philadelphia 76ers",""
24,2020-04-13,"Smoothie King Center","New Orleans Pelicans","Washington Wizards",""
24,2020-04-13,"Chesapeake Energy Arena","Oklahoma City Thunder","Utah Jazz",""
24,2020-04-13,"Pepsi Center","Denver Nuggets","Dallas Mavericks",""
24,2020-04-13,"Chase Center","Golden State Warriors","Portland Trail Blazers",""
24,2020-04-13,"Staples Center","LA Clippers","Minnesota Timberwolves",""
24,2020-04-14,"AmericanAirlines Arena","Miami Heat","Toronto Raptors",""
24,2020-04-14,"Madison Square Garden","New York Knicks","Detroit Pistons",""
24,2020-04-14,"Vivint Smart Home Arena","Utah Jazz","Denver Nuggets",""
24,2020-04-14,"Staples Center","Los Angeles Lakers","Sacramento Kings",""
24,2020-04-15,"State Farm Arena","Atlanta Hawks","Cleveland Cavaliers",""
24,2020-04-15,"TD Garden","Boston Celtics","Chicago Bulls",""
24,2020-04-15,"Barclays Center","Brooklyn Nets","Milwaukee Bucks",""
24,2020-04-15,"Amway Center","Orlando Magic","Toronto Raptors",""
24,2020-04-15,"Wells Fargo Center","Philadelphia 76ers","Charlotte Hornets",""
24,2020-04-15,"Capital One Arena","Washington Wizards","Indiana Pacers",""
24,2020-04-15,"American Airlines Center","Dallas Mavericks","Oklahoma City Thunder",""
24,2020-04-15,"Toyota Center","Houston Rockets","Memphis Grizzlies",""
24,2020-04-15,"Target Center","Minnesota Timberwolves","New York Knicks",""
24,2020-04-15,"AT&T Center","San Antonio Spurs","New Orleans Pelicans",""
24,2020-04-15,"Talking Stick Resort Arena","Phoenix Suns","Los Angeles Lakers",""
24,2020-04-15,"Moda Center","Portland Trail Blazers","LA Clippers",""
24,2020-04-15,"Golden 1 Center","Sacramento Kings","Golden State Warriors",""
